,hour,station_complex_id,station_complex,ridership,transfers
147,09,476,86 St (Q),6.0,1.0
148,09,602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",86.0,16.0
149,09,605,"168 St (A,C,1)",4.0,0.0
150,09,618,"14 St (A,C,E)/8 Av (L)",41.0,0.0
151,09,622,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",9.0,0.0
152,09,625,"Delancey St (F)/Essex St (J,M,Z)",14.0,0.0
153,09,TRAM1,RI Tramway (Manhattan),17.0,11.0
154,09,13,"28 St (R,W)",1.0,0.0
155,09,146,181 St (A),23.0,0.0
156,09,153,"125 St (A,C,B,D)",40.0,2.0
157,09,155,"Cathedral Pkwy (110 St) (C,B)",1.0,0.0
158,09,156,"103 St (C,B)",30.0,0.0
159,09,158,"86 St (C,B)",30.0,6.0
160,09,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",260.0,3.0
161,09,228,"23 St (F,M)",95.0,2.0
162,09,296,Marble Hill-225 St (1),23.0,1.0
163,09,296,Marble Hill-225 St (1),8.0,0.0
164,09,298,207 St (1),41.0,12.0
165,09,299,Dyckman St (1),76.0,0.0
166,09,300,191 St (1),11.0,0.0
167,09,300,191 St (1),81.0,0.0
168,09,306,125 St (1),4.0,0.0
169,09,309,103 St (1),13.0,0.0
170,09,309,103 St (1),55.0,0.0
171,09,310,"96 St (1,2,3)",464.0,4.0
172,09,318,"34 St-Penn Station (1,2,3)",1310.0,21.0
173,09,319,28 St (1),185.0,0.0
174,09,325,Canal St (1),1.0,0.0
175,09,328,WTC Cortlandt (1),19.0,0.0
176,09,333,"Wall St (2,3)",4.0,0.0
177,09,409,Spring St (6),7.0,0.0
178,09,436,Harlem-148 St (3),16.0,0.0
179,09,441,"Central Park North (110 St) (2,3)",13.0,0.0
180,09,475,96 St (Q),53.0,0.0
181,09,601,"14 St (F,M,1,2,3)/6 Av (L)",5.0,1.0
182,09,614,"59 St-Columbus Circle (A,B,C,D,1)",92.0,0.0
183,09,618,"14 St (A,C,E)/8 Av (L)",72.0,4.0
184,09,9,"57 St-7 Av (N,Q,R,W)",20.0,4.0
185,09,TRAM2,RI Tramway (Roosevelt),37.0,0.0
186,09,TRAM2,RI Tramway (Roosevelt),2.0,0.0
187,09,10,"49 St (N,R,W)",119.0,0.0
188,09,14,"23 St (R,W)",4.0,2.0
189,09,144,Dyckman St (A),5.0,0.0
190,09,155,"Cathedral Pkwy (110 St) (C,B)",16.0,1.0
191,09,159,"81 St-Museum of Natural History (C,B)",5.0,0.0
192,09,159,"81 St-Museum of Natural History (C,B)",2.0,0.0
193,09,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",20.0,0.0
194,09,168,"Spring St (C,E)",1.0,0.0
195,09,222,Roosevelt Island (F),15.0,0.0
196,09,225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2.0,0.0
197,09,231,"Grand St (B,D)",38.0,0.0
198,09,276,"5 Av/53 St (E,M)",109.0,2.0
199,09,301,181 St (1),13.0,2.0
200,09,304,145 St (1),3.0,0.0
201,09,305,137 St-City College (1),13.0,0.0
202,09,308,Cathedral Pkwy (110 St) (1),10.0,1.0
203,09,311,86 St (1),61.0,6.0
204,09,323,Christopher St-Sheridan Sq (1),77.0,2.0
205,09,407,Astor Pl (6),2.0,0.0
206,09,413,"Wall St (4,5)",6.0,1.0
207,09,441,"Central Park North (110 St) (2,3)",21.0,4.0
208,09,602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",66.0,1.0
209,09,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",151.0,0.0
210,09,618,"14 St (A,C,E)/8 Av (L)",17.0,0.0
211,09,622,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",33.0,0.0
212,09,628,"Fulton St (A,C,J,Z,2,3,4,5)",18.0,0.0
213,09,628,"Fulton St (A,C,J,Z,2,3,4,5)",101.0,0.0
214,09,628,"Fulton St (A,C,J,Z,2,3,4,5)",3.0,0.0
215,09,635,"South Ferry (1)/Whitehall St (R,W)",169.0,72.0
216,09,118,3 Av (L),4.0,0.0
217,09,143,Inwood-207 St (A),4.0,0.0
218,09,145,190 St (A),10.0,0.0
219,09,151,"145 St (A,C,B,D)",100.0,0.0
220,09,152,"135 St (C,B)",24.0,0.0
221,09,155,"Cathedral Pkwy (110 St) (C,B)",106.0,1.0
222,09,156,"103 St (C,B)",23.0,0.0
223,09,169,"Canal St (A,C,E)",150.0,1.0
224,09,20,"City Hall (R,W)",9.0,0.0
225,09,222,Roosevelt Island (F),3.0,0.0
226,09,222,Roosevelt Island (F),37.0,0.0
227,09,225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",20.0,0.0
228,09,228,"23 St (F,M)",97.0,0.0
229,09,234,East Broadway (F),34.0,0.0
230,09,234,East Broadway (F),37.0,0.0
231,09,300,191 St (1),18.0,0.0
232,09,303,157 St (1),20.0,1.0
233,09,316,50 St (1),99.0,1.0
