facility_id,program_type,facility_status,facility_name,city,zip_code,school_district_name,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capcity,total_capacity
881173,SACC,Registration,"New York Edge, Inc.",Bronx,10454,Bronx 7,0,0,0,80,0,80
881898,GFDC,License,"Baez, Mercedes",Bronx,10452,Bronx 9,0,0,0,0,10,10
885804,DCC,License,Astor Services for Children and Families,Rhinebeck,12572,Red Hook,0,0,20,0,0,20
886550,GFDC,License,"Delmonte, Nuria",bronx,10460,Bronx 12,0,0,0,0,12,12
887636,DCC,License,Kidz R' Kids LLC,uniondale,11553,Uniondale,0,0,30,0,0,30
890537,GFDC,License,MIGHTY KIDS DAYCARE LLC,Bellmore,11710,Bellmore,0,0,0,4,12,16
891585,DCC,License,Say Yes Buffalo,Buffalo,14207,Buffalo,0,0,18,0,0,18
892551,SACC,Registration,Vision Ed Inc,Brooklyn,11233,,0,0,0,97,0,97
898015,SACC,Registration,"West Islip Youth Enrichment Services, Inc.",Central Islip,11722,Central Islip,0,0,0,40,0,40
898575,GFDC,License,"Madera, Ana",Bronx,10453,Bronx 10,0,0,0,0,12,12
906118,DCC,License,Montessori School of Rochester,Rochester,14618,Brighton,8,24,0,0,0,32
913334,GFDC,License,EARLY LEADERS,Bronx,10469,Bronx 11,0,0,0,4,12,16
915626,GFDC,License,Sisi Zhang,College Point,11356,Queens 25,0,0,0,4,12,16
919961,GFDC,License,"Sosa, Alondra",Bronx,10472,Bronx 12,0,0,0,0,9,9
790358,FDC,Registration,"Decann, Rita",Webster,14580,Webster,0,0,0,2,6,8
42220,DCC,License,Congregation KTI Early Childhood Program,Port Chester,10573,Port Chester-Rye,0,32,79,0,0,111
9943,FDC,Registration,"Leege, Denise",Rochester,146261943,Greece,0,0,0,2,6,8
861149,GFDC,License,"Wallace, Quintasha",Brooklyn,11239,Brooklyn 19,0,0,0,4,12,16
559350,GFDC,License,"Familia De Segura, Elaine",Bronx,10467,Bronx 11,0,0,0,4,12,16
612658,GFDC,License,"Senclea Luis, Demetria",Bronx,10452,Bronx 9,0,0,0,2,12,14
726271,GFDC,License,"Green, Marthie",Bronx,10469,Bronx 11,0,0,0,4,12,16
597224,GFDC,License,Caaad Family Day Care LLC,Brooklyn,11226,Brooklyn 22,0,0,0,4,12,16
836598,GFDC,License,"Zoe & Friends Daycare, Inc.",Haverstraw,10927,Haverstraw-Stony Pt,0,0,0,4,12,16
879468,FDC,Registration,"Severino, Raysa",Bronx,10452,Bronx 9,0,0,0,2,6,8
168818,DCC,License,"Maple Leaf Childcare Center, Inc.",Schenectady,123033722,Mohonasen,8,22,44,18,0,92
