facility_id,program_type,facility_status,facility_name,city,zip_code,school_district_name,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capcity,total_capacity
852155,GFDC,License,"Crispin Robles, Yhureidy",Bronx,10472,Bronx 12,0,0,0,4,12,16
315568,GFDC,License,"Williams, Wilhelmina",Bronx,10458,Bronx 10,0,0,0,4,12,16
276252,DCC,License,Schoharie Valley Children's Center,Schoharie,12157,Schoharie,0,16,34,0,0,50
758210,GFDC,License,"Moubarak, Sonya",Bronx,10460,Bronx 12,0,0,0,0,10,10
843853,GFDC,License,"Pena Abreu, Yomira",Jamaica,11432,Queens 29,0,0,0,4,12,16
766747,GFDC,License,"Martinez Quinones, Damaris",Bronx,10467,Bronx 10,0,0,0,4,12,16
786493,GFDC,License,Gloria's Day Care,Bronx,10456,Bronx 9,0,0,0,4,12,16
830653,SACC,Registration,Queens Community House @ IS 145,Jackson Heights,11372,Queens 30,0,0,0,196,0,196
207259,GFDC,License,"Little Friends DayCare, LLC",Middletown,10941,Pine Bush,0,0,0,4,12,16
803769,GFDC,License,Froggy's Play Palace,Dover Plains,12522,Dover,0,0,0,4,12,16
253604,GFDC,License,Santos Day Care I,New York,10040,Manhattan 6,0,0,0,2,12,14
44660,DCC,License,BRIGHTPATH,Getzville,14068,Williamsville,14,23,59,15,0,111
742505,SACC,Registration,COMPASS@ PS.193,Brooklyn,11210,Brooklyn 22,0,0,0,165,0,165
41729,DCC,License,Kiryas Joel Municipal Local Development Corp.,Monroe,10950,Kiryas Joel,0,0,18,0,0,18
870859,GFDC,License,Bright Learning Daycare,Freeport,11520,Baldwin,0,0,0,4,12,16
833097,GFDC,License,My Little Sunshine Family Group Daycare Corp,Brooklyn,11207,Brooklyn 19,0,0,0,4,12,16
549217,GFDC,License,Ms. Andrea's Happy Feet Child Care Inc.,Brooklyn,11233,Brooklyn 16,0,0,0,4,12,16
656912,GFDC,License,"Espinal Reyes, Sonia",Bronx,10456,Bronx 9,0,0,0,0,12,12
399605,GFDC,License,"Leon, Mariana",Brooklyn,11232,Brooklyn 15,0,0,0,4,12,16
872463,FDC,Registration,LEGO Childcare,Rochester,14621,Rochester,0,0,0,2,6,8
42290,SACC,Registration,SCOPE Education Services,W. Hempstead,11552,West Hempstead,0,0,0,76,0,76
822233,GFDC,License,"Hernandez Trejo, Johanna",Bronx,10463,Bronx 10,0,0,0,4,12,16
410322,DCC,License,Heart 2 Heart Child Care Center LLC,Brewster,10509,Brewster,8,24,21,0,0,53
777509,SACC,Registration,"Sunnyside Community Service, Inc@ PS 343",Sunnyside,11104,Queens 30,0,0,0,300,0,300
858127,SACC,Registration,Healthy Kids Extended Day Program Inc.,Gowanda,14070,Gowanda,0,0,0,20,0,20
321229,FDC,Registration,Miss Jackies Family Daycare Corporation,New York,10026,Manhattan 3,0,0,0,2,6,8
347820,GFDC,License,"Grow With Grace Day Care, Inc.",Yorktown Heights,10598,Yorktown,0,0,0,4,12,16
35013,FDC,Registration,"Fife, Nancy",Horseheads,14845,Horseheads,0,0,0,2,5,7
40478,DCC,License,Rhyme Tyme,Ontario,145198963,Wayne,10,8,35,18,0,71
