month,division,line,day_type,num_sched_trains,num_actual_trains,service_delivered
2024-06,B DIVISION,C,2,1520,1404,0.923684211
2024-06,B DIVISION,C,1,1520,1403,0.923026316
2024-06,B DIVISION,D,2,1601,1491,0.931292942
2024-06,B DIVISION,D,1,1821,1721,0.945085118
2024-06,B DIVISION,E,2,800,770,0.9625
2024-06,B DIVISION,E,1,1560,1460,0.935897436
2024-06,B DIVISION,F,1,2900,2771,0.955517241
2024-06,B DIVISION,F,2,1600,1461,0.913125
2024-06,B DIVISION,G,2,1990,1943,0.97638191
2024-06,B DIVISION,G,1,940,899,0.956382979
2024-06,B DIVISION,JZ,1,1020,977,0.957843137
2024-06,B DIVISION,JZ,2,880,851,0.967045455
2024-06,B DIVISION,L,1,1919,1878,0.978634706
2024-06,B DIVISION,L,2,1144,1076,0.940559441
2024-06,B DIVISION,M,2,760,714,0.939473684
2024-06,B DIVISION,M,1,1800,1638,0.91
2024-06,B DIVISION,N,1,1820,1745,0.958791209
2024-06,B DIVISION,N,2,1441,1361,0.944482998
2024-06,B DIVISION,Q,1,2060,1926,0.934951456
2024-06,B DIVISION,Q,2,2082,1993,0.957252642
2024-06,B DIVISION,R,2,1280,1209,0.94453125
2024-06,B DIVISION,R,1,2060,1924,0.933980583
2024-06,B DIVISION,S Fkln,2,528,528,1
2024-06,B DIVISION,S Fkln,1,720,716,0.994444444
2024-06,B DIVISION,S Rock,1,420,421,1.002380952
2024-06,B DIVISION,S Rock,2,565,553,0.978761062
2024-06,B DIVISION,W,1,780,723,0.926923077
2024-06,Systemwide,Systemwide,1,43632,41226,0.944856986
2024-06,Systemwide,Systemwide,2,31341,29976,0.956446827
2024-05,A DIVISION,1,1,1848,1773,0.959415584
2024-05,A DIVISION,1,2,1032,965,0.935077519
2024-05,A DIVISION,2,1,2442,2345,0.96027846
2024-05,A DIVISION,2,2,1427,1382,0.968465312
2024-05,A DIVISION,3,1,2266,2183,0.96337158
2024-05,A DIVISION,3,2,1280,1276,0.996875
2024-05,A DIVISION,4,2,1906,1800,0.944386149
2024-05,A DIVISION,4,1,3033,2905,0.95779756
2024-05,A DIVISION,5,1,2836,2691,0.94887165
2024-05,A DIVISION,5,2,1024,967,0.944335938
2024-05,A DIVISION,6,1,2266,2141,0.944836717
2024-05,A DIVISION,6,2,1096,1033,0.942518248
