year,month,day_of_week,hour_of_day,timestamp,origin_station_complex_id,origin_station_complex_name,origin_latitude,origin_longitude,destination_station_complex_id,destination_station_complex_name,destination_latitude,destination_longitude,estimated_average_ridership,origin_point,destination_point
2023,10,Tuesday,15,2023-10-03T15:00:00.000,613,"Lexington Av (N,R,W)/59 St (4,5,6)",40.762593,-73.967613,306,125 St (1),40.815581,-73.958372,2.1482,"{'type': 'Point', 'coordinates': [-73.967613, 40.762593]}","{'type': 'Point', 'coordinates': [-73.958372, 40.815581]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,367,St Lawrence Av (6),40.831509,-73.867618,373,E 149 St (6),40.812118,-73.904098,2.166,"{'type': 'Point', 'coordinates': [-73.867618, 40.831509]}","{'type': 'Point', 'coordinates': [-73.904098, 40.812118]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,371,Hunts Point Av (6),40.820948,-73.890549,381,Kingsbridge Rd (4),40.86776,-73.897174,0.8696,"{'type': 'Point', 'coordinates': [-73.890549, 40.820948]}","{'type': 'Point', 'coordinates': [-73.897174, 40.86776]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,164,"34 St-Penn Station (A,C,E)",40.752287,-73.993391,262,"67 Av (M,R)",40.726523,-73.852719,7.6412,"{'type': 'Point', 'coordinates': [-73.993391, 40.752287]}","{'type': 'Point', 'coordinates': [-73.852719, 40.726523]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,414,"Bowling Green (4,5)",40.704817,-74.014065,44,"Church Av (B,Q)",40.650527,-73.962982,10.1742,"{'type': 'Point', 'coordinates': [-74.014065, 40.704817]}","{'type': 'Point', 'coordinates': [-73.962982, 40.650527]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,218,"167 St (B,D)",40.833771,-73.91844,426,"E 180 St (2,5)",40.841894,-73.873488,0.523,"{'type': 'Point', 'coordinates': [-73.91844, 40.833771]}","{'type': 'Point', 'coordinates': [-73.873488, 40.841894]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,625,"Delancey St (F)/Essex St (J,M,Z)",40.718463,-73.987776,617,"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",40.684162,-73.977789,5.9548,"{'type': 'Point', 'coordinates': [-73.987776, 40.718463]}","{'type': 'Point', 'coordinates': [-73.977789, 40.684162]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,293,Van Cortlandt Park-242 St (1),40.889248,-73.898583,319,28 St (1),40.747215,-73.993365,2.6084,"{'type': 'Point', 'coordinates': [-73.898583, 40.889248]}","{'type': 'Point', 'coordinates': [-73.993365, 40.747215]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,231,"Grand St (B,D)",40.718267,-73.993753,320,23 St (1),40.744081,-73.995657,1.7216,"{'type': 'Point', 'coordinates': [-73.993753, 40.718267]}","{'type': 'Point', 'coordinates': [-73.995657, 40.744081]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,264,"Woodhaven Blvd (M,R)",40.733106,-73.869229,601,"14 St (F,M,1,2,3)/6 Av (L)",40.737796,-73.997732,3.5452,"{'type': 'Point', 'coordinates': [-73.869229, 40.733106]}","{'type': 'Point', 'coordinates': [-73.997732, 40.737796]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,306,125 St (1),40.815581,-73.958372,625,"Delancey St (F)/Essex St (J,M,Z)",40.718463,-73.987776,0.4772,"{'type': 'Point', 'coordinates': [-73.958372, 40.815581]}","{'type': 'Point', 'coordinates': [-73.987776, 40.718463]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,180,Kingston-Throop Avs (C),40.679921,-73.940858,618,"14 St (A,C,E)/8 Av (L)",40.740335,-74.002134,2.5122,"{'type': 'Point', 'coordinates': [-73.940858, 40.679921]}","{'type': 'Point', 'coordinates': [-74.002134, 40.740335]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,54,"Sheepshead Bay (B,Q)",40.586896,-73.954155,307,116 St-Columbia University (1),40.807722,-73.96411,0.776,"{'type': 'Point', 'coordinates': [-73.954155, 40.586896]}","{'type': 'Point', 'coordinates': [-73.96411, 40.807722]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,266,"Elmhurst Av (M,R)",40.742454,-73.882017,311,86 St (1),40.788644,-73.976218,1.4576,"{'type': 'Point', 'coordinates': [-73.882017, 40.742454]}","{'type': 'Point', 'coordinates': [-73.976218, 40.788644]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,452,90 St-Elmhurst Av (7),40.748408,-73.876613,165,"23 St (C,E)",40.745906,-73.998041,0.9622,"{'type': 'Point', 'coordinates': [-73.876613, 40.748408]}","{'type': 'Point', 'coordinates': [-73.998041, 40.745906]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,398,77 St (6),40.77362,-73.959874,138,Canarsie-Rockaway Pkwy (L),40.646654,-73.90185,1.4556,"{'type': 'Point', 'coordinates': [-73.959874, 40.77362]}","{'type': 'Point', 'coordinates': [-73.90185, 40.646654]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,404,28 St (6),40.74307,-73.984264,377,3 Av-138 St (6),40.810476,-73.926138,6.6492,"{'type': 'Point', 'coordinates': [-73.984264, 40.74307]}","{'type': 'Point', 'coordinates': [-73.926138, 40.810476]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,450,103 St-Corona Plaza (7),40.749865,-73.8627,220,"155 St (B,D)",40.830135,-73.938209,1.0812,"{'type': 'Point', 'coordinates': [-73.8627, 40.749865]}","{'type': 'Point', 'coordinates': [-73.938209, 40.830135]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,458,46 St-Bliss St (7),40.743132,-73.918435,276,"5 Av/53 St (E,M)",40.760167,-73.975224,1.4574,"{'type': 'Point', 'coordinates': [-73.918435, 40.743132]}","{'type': 'Point', 'coordinates': [-73.975224, 40.760167]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,623,"Canal St (J,N,Q,R,W,Z,6)",40.718701,-74.00058,357,"Beverly Rd (2,5)",40.645098,-73.948959,2.023,"{'type': 'Point', 'coordinates': [-74.00058, 40.718701]}","{'type': 'Point', 'coordinates': [-73.948959, 40.645098]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,328,WTC Cortlandt (1),40.711835,-74.012188,277,"7 Av (E,B,D)",40.762862,-73.981637,3.1272,"{'type': 'Point', 'coordinates': [-74.012188, 40.711835]}","{'type': 'Point', 'coordinates': [-73.981637, 40.762862]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,630,"Myrtle-Wyckoff Avs (L,M)",40.699622,-73.911986,156,"103 St (C,B)",40.796092,-73.961454,0.5328,"{'type': 'Point', 'coordinates': [-73.911986, 40.699622]}","{'type': 'Point', 'coordinates': [-73.961454, 40.796092]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,228,"23 St (F,M)",40.742878,-73.992821,370,Whitlock Av (6),40.826525,-73.886283,0.233,"{'type': 'Point', 'coordinates': [-73.992821, 40.742878]}","{'type': 'Point', 'coordinates': [-73.886283, 40.826525]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,54,"Sheepshead Bay (B,Q)",40.586896,-73.954155,58,"Coney Island-Stillwell Av (D,F,N,Q)",40.577422,-73.981233,11.9008,"{'type': 'Point', 'coordinates': [-73.954155, 40.586896]}","{'type': 'Point', 'coordinates': [-73.981233, 40.577422]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,135,Livonia Av (L),40.664038,-73.900571,137,East 105 St (L),40.650573,-73.899485,3.5616,"{'type': 'Point', 'coordinates': [-73.900571, 40.664038]}","{'type': 'Point', 'coordinates': [-73.899485, 40.650573]}"
2023,10,Tuesday,15,2023-10-03T15:00:00.000,312,79 St (1),40.783934,-73.979917,336,"Hoyt St (2,3)",40.690545,-73.985065,0.9682,"{'type': 'Point', 'coordinates': [-73.979917, 40.783934]}","{'type': 'Point', 'coordinates': [-73.985065, 40.690545]}"
